date,sentiment_labels,sentiment_change
2017-08-28,0.5795795795795796,
2017-08-29,0.6003996003996004,0.020820020820020768
2017-08-30,0.5875875875875876,-0.01281201281201283
2017-09-01,0.5483549351944168,-0.03923265239317075
2017-09-02,0.5125125125125125,-0.035842422681904296
2017-09-03,0.6061814556331007,0.09366894312058816
2017-09-04,0.5275275275275275,-0.07865392810557315
2017-09-05,0.5356068204613842,0.008079292933856674
2017-09-06,0.5863095238095238,0.050702703348139644
2017-09-07,0.592964824120603,0.006655300311079193
2017-09-08,0.6182364729458918,0.02527164882528876
2017-09-09,0.5290581162324649,-0.08917835671342689
2017-09-10,0.48597194388777554,-0.043086172344689366
2017-09-11,0.5921843687374749,0.1062124248496994
2017-09-12,0.561,-0.031184368737474877
2017-09-13,0.546,-0.015000000000000013
2017-09-14,0.509,-0.03700000000000003
2017-09-15,0.515,0.006000000000000005
2017-09-16,0.571,0.05599999999999994
2017-09-17,0.58,0.009000000000000008
2017-09-18,0.498,-0.08199999999999996
2017-09-19,0.543,0.04500000000000004
2017-09-20,0.59,0.04699999999999993
2017-09-21,0.549,-0.040999999999999925
2017-09-22,0.489,-0.06000000000000005
2017-09-23,0.556,0.06700000000000006
2017-09-24,0.5324532453245324,-0.02354675467546763
2017-09-25,0.7142857142857143,0.18183246896118188
2017-09-26,0.5172413793103449,-0.19704433497536944
2017-09-27,0.5555555555555556,0.03831417624521072
2017-09-28,0.48484848484848486,-0.07070707070707072
2017-09-29,0.625,0.14015151515151514
2017-10-01,0.53,-0.09499999999999997
2017-10-02,0.572,0.041999999999999926
2017-10-03,0.483,-0.08899999999999997
2017-10-04,0.5055276381909548,0.022527638190954824
